"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"N/A","4004370002",,"Queens",,,,,"414.1","BBL not valid",,,"84","2227.1",,,"10.32",,"4004370002","Office","12237","4000000","528060","N/A","66.2","177.8",,,"2641.2","65.6","177.2",
"N/A","4-05181-0006",,"Queens",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"4051810006","Office","16043","4117035","49925","None",,,,,,"Not Available","Not Available",
"N/A","2-14748-3647",,"Bronx",,,,,"1027.1","BBL not valid",,,"Not Available",,,,"Not Available",,"2147483647","Multifamily Housing","12183","4464076","248056","N/A",,,,,,"Not Available","Not Available",
"No",,"2013274","Bronx","361",,"6","15",,"No Submission Matched to BBL","1","52030",,,"40.844819","-73.878502",,"East Tremont                                                               ","2031340014",,"13380",,"#N/A","None",,,"BRONX PARK SOUTH","984",,,,"10460"
"No",,"3339612","Brooklyn","890",,"16","42",,"No Submission Matched to BBL","1","125000",,,"40.655629","-73.91151",,"Rugby-Remsen Village                                                       ","3036310030",,"13912",,"#N/A","None",,,"HEGEMAN AVENUE","20",,,,"11212"
"Yes",,"2083256","Bronx","29302",,"8","11",,"No Submission Matched to BBL","1","64142",,,"40.877239","-73.91785",,"Spuyten Duyvil-Kingsbridge                                                 ","2057230100",,"13595",,"#N/A","None",,,"KAPPOCK STREET","500",,,,"10463"
"No",,"3190467","Brooklyn","410",,"11","47",,"No Submission Matched to BBL","1","221704",,,"40.600605","-73.97355",,"Bensonhurst East                                                           ","3070870076",,"14085",,"#N/A","None",,,"LAKE STREET","143",,,,"11223"
"No",,"3074262","Brooklyn","443",,"4","37",,"No Submission Matched to BBL","1","360000",,,"40.704636","-73.917699",,"Bushwick North                                                             ","3032600001",,"13902",,"#N/A","None",,,"STOCKHOLM STREET","374",,,,"11237"
"Yes","1-00766-0061","1013820","Manhattan","81",,"4","3","76.8","Filed","1","53168","4","507.6","40.740899","-73.999325","1.35","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007660061","Office","977","1013820","59468","ABS","122.3","347","WEST   17 STREET","230","584.4","122.4","347.3","10011"
"No","1008150046","1015281","Manhattan","113",,"5","4","0","Filed","1","364000","52","3613","40.754158","-73.986905","Not Available","Midtown-Midtown South                                                      ","1008150046","Office","1256","1015281","364000","None","117","257","BROADWAY","1430","3613","115.9","255.7","10018"
"N/A","1001000007",,"Manhattan",,,,,,"BBL not valid",,,"Not Available",,,,"Not Available",,"1001000007","Hotel","12088","1022676","106076","N/A",,,,,,"Not Available","Not Available",
"Yes","1020930029","1062398","Manhattan","233",,"9","7",,"Filed","1","72099","Not Available",,"40.827202","-73.949897","67.32","Hamilton Heights                                                           ","1020930029","Multifamily Housing","4862","1062398","78678","ABS",,,"BROADWAY","3565",,"Not Available","Not Available","10031"
"N/A","2-04226-0016",,"Bronx",,,,,"0","BBL not valid",,,"100","88.1",,,"Not Available",,"2042260016","Office","12159","2047127","230000","N/A","4.7","14.8",,,"88.1","4.7","14.8",
"N/A","2-14748-3647",,"Bronx",,,,,"296","BBL not valid",,,"Not Available","108.6",,,"46.22",,"2147483647","Multifamily Housing","12179","3194728","76752","N/A","90.1","130.9",,,"404.6","90.2","131",
"N/A","3001470004",,"Brooklyn",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"3001470004","Office","15600","3319418","913378","None",,,,,,"Not Available","Not Available",
"N/A","3046480033",,"Brooklyn",,,,,"217.7","Not on Covered Buildings List",,,"Not Available",,,,"60.96",,"3046480033","Multifamily Housing","15867","3323081","92800","None",,,,,,"Not Available","Not Available",
"N/A","3068550001",,"Brooklyn",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"3068550001","K-12 School","15924","3329173","61404","None",,,,,,"Not Available","Not Available",
"N/A","3001450035",,"Brooklyn",,,,,"0","BBL not valid",,,"100","3.6",,,"Not Available",,"3001450035","Office","12206","3413889","175601","N/A","0.3","0.8",,,"3.6","Not Available","Not Available",
"N/A","Not Available",,"Staten Island",,,,,"0","No BBL on submission",,,"Not Available","0",,,"Not Available",,,"College/University","12375","Not Available","0","N/A",,,,,"0","Not Available","Not Available",
"N/A","4084010096",,"Queens",,,,,"806.6","Not on Covered Buildings List",,,"Not Available","160.1",,,"Not Available",,"4084010096","Multifamily Housing","16099","4453435","91968","None","180.5","233.7",,,"966.7","178.7","231.8",
"Yes","1005050001","1007817","Manhattan","37",,"2","3","337.9","Filed","1","214110","44","1054.4","40.726143","-74.005693","8.71","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005050001","Distribution Center","500","1007817","235370","ABS","82.1","201.3","VARICK STREET","150","1392.3","81.9","201.2","10013"
"No","1021420100",,"Manhattan","253",,"12","10","541.8","Filed","1","64816","Not Available","131.8","40.843835","-73.939057","Not Available","Washington Heights South                                                   ","1021420100","Multifamily Housing","5017","1063495","64806","None","137.7","192.5","BROADWAY","4079","673.6","137.5","192.1","10032"
"No","1021750080","1064235","Manhattan","287",,"12","10","403","Filed","1","62847","Not Available","82","40.86314","-73.927213","Not Available","Washington Heights North                                                   ","1021750080","Multifamily Housing","5116","1064235","62839","None","103.2","138.6","SHERMAN AVENUE","60","485","103","138.2","10040"
"No","1003360005",,"Manhattan","12",,"3","1","290","Filed","1","98052","Not Available","145.5","40.715654","-73.982956","Not Available","Lower East Side                                                            ","1003360005","Multifamily Housing","363","1088884","98000","None","74","115.8","BIALYSTOKER PLACE","16","435.5","74","115.8","10002"
"Yes","2040830013",,"Bronx","200",,"11","13","45.3","Filed","1","53285","98","88.4","40.845571","-73.846217","Not Available","Van Nest-Morris Park-Westchester Square                                    ","2040830013","Office","6876","2044217","53275","None","36.4","80.9","JARRETT PLACE","1525","133.7","36.3","80.8","10461"
"No","4031680056",,"Queens",,,,,"305.3","Filed","1","61856","Not Available","109.6",,,"Not Available",,"4031680056","Multifamily Housing","10714","4075089","61846","None","114.8","166","67 ROAD","99-21","414.9","114.5","165.8","11375"
"Yes","1-00807-0028","1015181","Manhattan","101",,"5","3","977.8","Filed","1","221227","57","987.6","40.748238","-73.989952","22.89","Midtown-Midtown South                                                      ","1008070028","Office","1214","1015181","204417","ABS","130","258.7","WEST   31 STREET","119","1965.4","128.4","257.3","10001"
"No","1-00858-0014","1016899","Manhattan","74",,"5","4","384.1","Filed","1","60110","Not Available","213.2","40.744104","-73.985637","Not Available","Midtown-Midtown South                                                      ","1008580014","Multifamily Housing","1544","1016899","60110","None","138.3","233.7","MADISON AVENUE","80","597.3","138.3","233.9","10016"
"No","1-00968-7501","1022060","Manhattan","8601",,"6","4","82.7","Filed","1","550141","Not Available","2307201","40.745216","-73.972453","Not Available","Turtle Bay-East Midtown                                                    ","1009687501","Multifamily Housing","1905","1022060","457946","None","56909","68511.9","1 AVENUE","630","2307283.7","Not Available","Not Available","10016"
"No","1-01139-0001","1028849","Manhattan","153",,"7","6","1657.9","Filed","1","568001","Not Available","1154.9","40.775012","-73.982969","Not Available","Lincoln Square                                                             ","1011390001","Multifamily Housing","2301","1028849","511001","None","88.2","150.6","WEST   67 STREET","145","2812.8","87.5","149.3","10023"
"N/A","1-01209-00148",,"Manhattan",,,,,"37.2","Not on Covered Buildings List",,,"100","15.2",,,"Not Available",,"1012090148","Hotel","15059","1031751","56442","None","15.7","23.5",,,"52.4","15.7","23.5",
"No","1005680024","1009265","Manhattan","61",,"2","2",,"Filed","1","56252","Not Available","104.7","40.732865","-73.993711","Not Available","West Village                                                               ","1005680024","Multifamily Housing","674","1032045","60939","None",,,"UNIVERSITY PLACE","60",,"Not Available","Not Available","10003"
"Yes","1012120110","1032045","Manhattan","165",,"7","6","422","Filed","1","67230","Not Available","85.8","40.783904","-73.976048","47.4","Upper West Side                                                            ","1012120110","Multifamily Housing","2537","1032045","78435","ABS","85.7","115.3","WEST   81 STREET","155","507.8","Not Available","Not Available","10024"
"No","1-01274-7502","1035250","Manhattan","11201",,"5","4","790.1","Filed","1","96137","Not Available","358","40.76452","-73.975528","Not Available","Midtown-Midtown South                                                      ","1012747502","Multifamily Housing","2841","1035250","80293","None","195.7","315.8","WEST   58 STREET","57","1148.1","Not Available","Not Available","10019"
"Yes","1012920048","1035788","Manhattan","11202",,"5","4","271.8","Filed","1","77511","74","381.8","40.762162","-73.972082","8.77","Midtown-Midtown South                                                      ","1012920048","Office","2945","1035788","104990","ABS","79.1","175","EAST   57 STREET","32","653.6","79.1","175.2","10022"
"N/A","1013040033",,"Manhattan",,,,,"0","Not on Covered Buildings List",,,"26","6472.5",,,"Not Available",,"1013040033","Office","15120","1036446","528180","None","144.1","309.3",,,"6472.5","142.4","307.2",
"Yes","1-01315-0044","1037547","Manhattan","88",,"6","4","3569.4","Filed","1","502158","13","1733.2","40.750415","-73.973635","62.18","Turtle Bay-East Midtown                                                    ","1013150044","Hotel","3053","1037547","440895","None","200.9","311.9","EAST   42 STREET","214","5302.6","200.9","312","10017"
"Yes","1-01644-0059","1052315","Manhattan","182",,"11","8","458.3","Filed","1","55725","Not Available","97.8","40.799498","-73.941615","Not Available","East Harlem North                                                          ","1016440059","Multifamily Housing","4233","1052315","69656","ABS","104.6","142.4","EAST  117 STREET","136","556.1","102.4","139.7","10035"
"No","1020230028","1060220","Manhattan","228",,"10","9","406.6","Filed","1","57834","Not Available","0","40.816651","-73.94273","Not Available","Central Harlem North-Polo Grounds                                          ","1020230028","Multifamily Housing","4777","1060220","62300","None","86.7","87.6","ADAM C POWELL BLVD","2340","406.6","86.7","87.6","10030"
"Yes","1021310044","1063170","Manhattan","261",,"12","10","404.4","Filed","1","64848","Not Available","89.9","40.843945","-73.933949","Not Available","Washington Heights South                                                   ","1021310044","Multifamily Housing","4912","1063170","64838","None","102.1","139.7","AMSTERDAM AVENUE","2308","494.3","101.9","139.3","10033"
"No","1021800486","1064460","Manhattan","279",,"12","10","18.3","Filed","1","80927","Not Available","111.7","40.856285","-73.933948","Not Available","Washington Heights North                                                   ","1021800486","Multifamily Housing","5210","1064460","80917","None","21.2","57.7","BENNETT AVENUE","179","130","21.1","57.3","10040"
"No","1022470001","1065057","Manhattan","295",,"12","10","302.3","Filed","1","56700","Not Available","64.7","40.86695","-73.928417","Not Available","Marble Hill-Inwood                                                         ","1022470001","Multifamily Housing","5295","1065057","62205","None","78.3","106.3","PAYSON AVENUE","37","367","77.6","105.6","10034"
"N/A","1008610044","1080789","Manhattan","74",,"5","2",,"Filed","2","227053","Not Available",,"40.745276","-73.98267","15.12","Midtown-Midtown South                                                      ","1008610044","Office","1575"," 1080788; 1080789","292061","None",,,"PARK AVENUE SOUTH   ","462",,"Not Available","Not Available","10016"
"N/A","1010560001",,"Manhattan",,,,,"112.8","Not on Covered Buildings List",,,"Not Available","123.7",,,"Not Available",,"1010560001","Multifamily Housing","15025"," 1081659; 1081660; 1081664; 1081665; 1081666; 1081667; 1081668; 1081669; 1081670;1081674;1081675","66000","None","55.2","106.1",,,"236.5","55.3","106.2",
"No","1000160140","1000059","Manhattan","31703",,"1","1","24.1","Filed","1","2249866","76","16441.4","40.714447","-74.015493","11.83","Battery Park City-Lower Manhattan                                          ","1000160140","Office","21","1000059","2280527","Manual","96.8","216.4","VESEY STREET","200","16465.5","96.9","216.5","10281"
"N/A","1016240033","1082901","Manhattan","15802",,"11","5","1443.1","Filed","1","509090","Not Available","1233","40.785301","-73.949268","Not Available","East Harlem South                                                          ","1016240033","Multifamily Housing","4208","1082901","509100","None","83.2","149.6","   3 AVENUE         ","1710","2676.1","83.2","149.6","10029"
"Yes","1020427502","1085457","Manhattan","22102",,"10","9","346.9","Filed","1","68836","Not Available","131.3","40.819097","-73.944665","Not Available","Central Harlem North-Polo Grounds                                          ","1020427502","Multifamily Housing","4799"," 1085457 ;1085457  ;1085452 ;1085451 ;1085453  ;1085454  ;1085455  ;1085456","56170","None","145.1","212.4","FREDRICK DOUGLASS BL","2611","478.2","144.4","211.7","10030"
"Yes","1008607501","1087118","Manhattan","74",,"5","2","145.2","Filed","1","59993","Not Available","146.6","40.745032","-73.984265","Not Available","Midtown-Midtown South                                                      ","1008607501","Multifamily Housing","1568","1087118","76430","None","59.4","111.6","EAST   30 STREET","43","291.8","59","111","10016"
"Yes","2-02432-0047","2002195","Bronx","173",,"4","16","286.2","Filed","1","71070","Not Available","116.6","40.827884","-73.915595","108.9","East Concourse-Concourse Village                                           ","2024320047","Multifamily Housing","5427","2002195","76992","ABS","88.7","132","EAST  164 STREET","309","402.8","88.1","130.8","10456"
"Yes","2024560175","2002751","Bronx","18102",,"4","16","447.8","Filed","1","72276","Not Available","89.9","40.833435","-73.917106","Not Available","East Concourse-Concourse Village                                           ","2024560175","Multifamily Housing","5476","2002751","72000","None","100.8","134.9","SHERIDAN AVENUE","1181","537.7","100.4","134.5","10456"
