"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","1007610020","1013617","Manhattan","111",,"4","3","44","Filed","1","53844","Not Available",,"40.754485","-73.992987","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007610020","Multifamily Housing","946","1013617","275609","None",,,"WEST   37 STREET","325",,"Not Available","Not Available","10018"
"No","1007610022","1013618","Manhattan","111",,"4","3","243.9","Filed","1","83410","94","156.2","40.754384","-73.992742","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007610022","Office","947","1013618","83410","None","62.2","111.9","WEST   37 STREET","313","400.1","60.4","110.2","10018"
"No","1007610033","1013622","Manhattan","111",,"4","3",,"Filed","1","166874","Not Available","550.1","40.754296","-73.991944","40.52","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007610033","Office","948","1013622","169596","Manual",,,"8 AVENUE","545",,"Not Available","Not Available","10018"
"Yes","1007610037","1013623","Manhattan","111",,"4","3",,"Filed","1","162260","Not Available",,"40.754477","-73.991814","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007610037","Office","949","1013623","150000","ABS",,,"8 AVENUE","555",,"Not Available","Not Available","10018"
"No","1-00761-0041","1013625","Manhattan","111",,"4","3","235.3","Filed","1","73698","100","0","40.754933","-73.992186","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007610041","Office","950","1013625","78304","None","39.9","40.3","WEST   38 STREET","306","235.3","38.4","38.8","10018"
"Yes","3-01065-0031","3024654","Brooklyn","157",,"6","39","201.7","Filed","1","51654","Not Available",,"40.673314","-73.973085","44.47","Park Slope-Gowanus                                                         ","3010650031","Multifamily Housing","7570","3024654","51654","ABS",,,"8 AVENUE","78",,"Not Available","Not Available","11215"
"No","1007610059","1013628","Manhattan","111",,"4","3","376.5","Filed","1","95402","Not Available","159.8","40.755259","-73.992954","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007610059","Multifamily Housing","953","1013628","95392","None","95","142.8","WEST   38 STREET","344","536.3","94.7","143","10018"
"Yes","1007620011","1013637","Manhattan","115",,"4","3","137.9","Filed","1","54935","85","117.5","40.755237","-73.992864","5.48","Clinton                                                                    ","1007620011","Office","954","1013637","54395","ABS","74.3","133.5","WEST   38 STREET","341","255.4","72.5","131.6","10018"
"No","1007620014","1013639","Manhattan","115",,"4","3","255","Filed","1","50968","Not Available",,"40.755188","-73.992741","Not Available","Clinton                                                                    ","1007620014","Multifamily Housing","955","1013639","53092","None",,,"WEST   38 STREET","335",,"Not Available","Not Available","10018"
"Yes","1007620033","1013644","Manhattan","115",,"4","3","604.6","Filed","1","224400","84","875.1","40.754952","-73.991467","Not Available","Clinton                                                                    ","1007620033","Office","957","1013644","246547","None","78.6","172.6","8 AVENUE","575","1479.7","Not Available","Not Available","10018"
"Yes","1007620042","1013646","Manhattan","115",,"4","3","443.8","Filed","1","112700","89","314.5","40.755155","-73.991319","6.38","Clinton                                                                    ","1007620042","Office","958","1013646","117850","None","82.8","153.5","8 AVENUE","589","758.3","80.8","151.5","10018"
"No",,,"Queens",,,,,,"No Submission Matched to BBL","1","63840",,,,,,,"4026030072",,"14387",,"#N/A","None",,,"49 STREET","57-01",,,,"11378"
"Yes","1007620050","1013650","Manhattan","115",,"4","3","440.4","Filed","1","156508","92","404.7","40.755657","-73.991976","Not Available","Clinton                                                                    ","1007620050","Office","959","1013650","156446","None","71.3","140.1","WEST   39 STREET","318","845.1","Not Available","Not Available","10018"
"N/A","1007630018","1013681","Manhattan","115",,"4","3","316.9","Filed","1","93661","87","288.8","40.755792","-73.99225","Not Available","Clinton                                                                    ","1007630018","Office","964","1013681","92337","None","84","166.8","WEST   39 STREET    ","333","605.7","82.4","165.2","10018"
"Yes","1007637502",,"Manhattan",,,,,"153.6","Filed","1","75774","92","115.2",,,"Not Available",,"1007637502","Office","970","1013682","52570","None","66.3","124.3","WEST 39 STREET","1050","268.8","66.3","124.4","10018"
"Yes","1007630024","1013683","Manhattan","115",,"4","3","317.9","Filed","1","132684","91","324.1","40.755638","-73.991882","12.9","Clinton                                                                    ","1007630024","Office","965","1013683","153821","ABS","53.4","109.1","WEST   39 STREET","315","642","Not Available","Not Available","10018"
"Yes","1-00763-0049","1013691","Manhattan","115",,"4","3","95.6","Filed","1","68060","72","244.1","40.756242","-73.991442","15.2","Clinton                                                                    ","1007630049","Office","966","1013691","61250","ABS","70","175.1","WEST   40 STREET","314","339.7","70.1","175.3","10018"
"No","1007640001","1013711","Manhattan","81",,"4","3","342.2","Filed","1","185198","87","503.7","40.739851","-74.002439","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007640001","Office","972","1013711","164609","None","65.6","146.5","8 AVENUE","80","845.9","Not Available","Not Available","10011"
"Yes","3010650037","3024655","Brooklyn","157",,"6","39","204.8","Filed","1","73400","Not Available","84.9","40.673073","-73.973247","Not Available","Park Slope-Gowanus                                                         ","3010650037","Multifamily Housing","7571","1013711","73400","ABS","66.8","99.8","8 AVENUE","90","289.7","Not Available","Not Available","11215"
"No","1007650041","1013776","Manhattan","81",,"4","3","654.3","Filed","1","141491","Not Available","221.8","40.739612","-73.998925","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007650041","Multifamily Housing","975","1013776","161450","None","70.7","107.3","7 AVENUE","90","876.1","68.8","105","10011"
"No","1007660039","1013813","Manhattan","81",,"4","3","317.7","Filed","1","101221","Not Available",,"40.739974","-73.998658","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007660039","Multifamily Housing","976","1013813","101221","None",,,"7 AVENUE","100",,"Not Available","Not Available","10011"
"Yes","1-00766-7503","1013814","Manhattan","81",,"4","3","235.7","Filed","1","69860","Not Available","248.9","40.740693","-73.998838","25.46","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007667503","Multifamily Housing","979","1013814","74435","ABS","84.8","173.3","WEST   17 STREET","206","484.6","84.7","173.4","10011"
"No","1-00767-7502","1013847","Manhattan","81",,"4","3","224.7","Filed","1","95919","Not Available","167.3","40.741135","-73.999845","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007677502","Multifamily Housing","985","1013847","83333","None","75.5","130.8","WEST   17 STREET","257","392","75.3","130.7","10011"
"N/A","1-00767-0012","1013848","Manhattan","81",,"4","3","0","Filed","1","108768","Not Available","332.2","40.741066","-73.999682","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007670012","Office","982","1013848","Not Available","None",,,"WEST   17 STREET    ","249","332.2","Not Available","Not Available","10011"
"Yes","1-00767-0015","1013849","Manhattan","81",,"4","3","0","Filed","1","118945","Not Available","160.1","40.741034","-73.999599","2.63","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007670015","Office","983","1013849","150696","ABS","13.1","41","WEST   17 STREET","245","160.1","13.1","41","10011"
"Yes","1-00767-0015","1013849","Manhattan","81",,"4","3","0","Filed","1","118945","Not Available","188.3","40.741034","-73.999599","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007670015","Office","984","1013849","Not Available","ABS",,,"WEST   17 STREET","245","188.3","Not Available","Not Available","10011"
"N/A","1-00767-0012","1013848","Manhattan","81",,"4","3","0","Filed","1","108768","Not Available","138.9","40.741066","-73.999682","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007670012","Office","981","1013849","166544","None","10.3","32.2","WEST   17 STREET    ","249","138.9","10.3","32.2","10011"
"Yes","1-00768-0059","1013885","Manhattan","87",,"4","3","395","Filed","1","157364","Not Available","330.8","40.74214","-73.998636","29.74","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007680059","Multifamily Housing","988","1013885","157364","None","73.1","130.8","WEST   19 STREET","238","725.8","72.7","129.9","10011"
"Yes","1007687501","1013894","Manhattan","87",,"4","3","193.6","Filed","1","51717","Not Available","45.7","40.741901","-73.998069","34.58","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007687501","Multifamily Housing","989","1013894","51717","ABS","61.8","85.6","WEST   19 STREET","210","239.3","61.2","84.8","10011"
"Yes","1-00769-7505","1013970","Manhattan","87",,"4","3","235.4","Filed","1","72112","Not Available","140.5","40.742258","-73.99887","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007697505","Multifamily Housing","993","1013970","72312","None","85.2","139.4","WEST   19 STREET","251","375.9","84.6","138.8","10011"
"Yes","1-00769-7506","1013977","Manhattan","87",,"4","3","148.2","Filed","1","50795","Not Available","99.4","40.741967","-73.998181","25.73","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007697506","Multifamily Housing","994","1013977","52313","ABS","76.7","129.4","WEST   19 STREET","217","247.6","76.2","128.9","10011"
"Yes","1-00769-0031","1013979","Manhattan","87",,"4","3","9.8","Filed","1","77615","Not Available","131.9","40.741865","-73.997936","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007690031","Multifamily Housing","991","1013979","84083","None","21.5","62.8","WEST   19 STREET","205","141.7","21.3","62.2","10011"
"No","1-00771-0038","1014075","Manhattan","87",,"4","3","305.3","Filed","1","80977","Not Available","180.1","40.742949","-73.996492","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007710038","Multifamily Housing","995","1014075","80956","None","98.4","160.5","7 AVENUE","188","485.4","98.2","160.2","10011"
"No","1-00771-0046","1014076","Manhattan","87",,"4","3","455.5","Filed","1","76450","Not Available","90.5","40.743106","-73.996377","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007710046","Multifamily Housing","996","1014076","76450","None","93.6","125.5","7 AVENUE","196","546","93.5","125.1","10011"
"Yes","1007720018","1014111","Manhattan","91",,"4","3","289.7","Filed","1","116586","Not Available","201.5","40.743907","-73.997239","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007720018","Multifamily Housing","997","1014111","96500","None","82.2","140","WEST   22 STREET","235","491.2","Not Available","Not Available","10011"
"No","1-00772-0056","1014129","Manhattan","91",,"4","3","781.4","Filed","1","152342","Not Available","348.6","40.744338","-73.99624","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007720056","Multifamily Housing","998","1014129","156912","None","93.4","152.5","WEST   23 STREET","208","1130","93","152.1","10011"
"Yes","1-00773-0027","1014148","Manhattan","91",,"4","3","296.1","Filed","1","66524","Not Available","110.8","40.744489","-73.996554","30.41","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007730027","Multifamily Housing","1001","1014148","68000","ABS","78.7","122.1","WEST   23 STREET","225","406.9","77.9","120.4","10011"
"No","1-00773-7502","1014149","Manhattan","91",,"4","3","172.7","Filed","1","65664","Not Available","333.2","40.744388","-73.996308","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007737502","Mixed Use Property","1003","1014149","65664","None","111.9","247.9","WEST   23 STREET","213","505.9","111.9","248.1","10011"
"Yes","1-00773-0056","1014159","Manhattan","91",,"4","3","296.1","Filed","1","57207","Not Available","106.4","40.745104","-73.995998","74.86","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007730056","Multifamily Housing","1002","1014159","59000","ABS","89.8","137.9","WEST   24 STREET","220","402.5","89.2","136.8","10011"
"No","1007747501","1014176","Manhattan","91",,"4","3","1542.5","Filed","1","628697","Not Available","2505.4","40.745112","-73.994919","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007747501","Multifamily Housing","1005","1014176","603754","None","99.1","210.7","7 AVENUE","252","4047.9","98.5","209.6","10001"
"No","1-00775-0017","1014199","Manhattan","91",,"4","3","221.6","Filed","1","50029","Not Available","144.8","40.745829","-73.995741","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007750017","Multifamily Housing","1006","1014199","50029","Manual","95.9","172.8","WEST   25 STREET","231","366.4","96","173.2","10001"
"Yes","1-00775-0022","1014200","Manhattan","91",,"4","3","352.1","Filed","1","62586","Not Available","106.2","40.745724","-73.995496","26.22","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007750022","Multifamily Housing","1007","1014200","62586","None","96.2","141.7","WEST   25 STREET","219","458.3","Not Available","Not Available","10001"
"N/A","1007750060","1014205","Manhattan","91",,"4","3","846.8","Filed","1","86280","Not Available","115.5","40.746487","-73.995424","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007750060","Multifamily Housing","1010","1014205","86280","None","146.8","183.4","WEST   26 STREET    ","236","962.3","145.7","182.2","10001"
"Yes","1007757501","1014211","Manhattan","91",,"4","3","436.5","Filed","1","143991","Not Available","474.6","40.745708","-73.995456","35.14","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007757501","Office","1011","1014211","147600","ABS","78.8","163.7","WEST   25 STREET","217","911.1","78.6","163.6","10001"
"No","1007760001","1014225","Manhattan","95",,"5","3","438.4","Filed","1","173491","87","589.1","40.747294","-73.997023","Not Available","Midtown-Midtown South                                                      ","1007760001","Office","1012","1014225","189362","None","69","151.1","8 AVENUE","322","1027.5","Not Available","Not Available","10001"
"Yes","1007760021","1014235","Manhattan","95",,"5","3","0","Filed","1","53118","Not Available","477.8","40.746364","-73.995088","Not Available","Midtown-Midtown South                                                      ","1007760021","Other","1013","1014235","53118","None","110.6","347.2","WEST   26 STREET","221","477.8","110.6","347.2","10001"
"No","1-00776-0055","1014237","Manhattan","95",,"5","3","10","Filed","1","109132","62","706.4","40.74705","-73.994854","62","Midtown-Midtown South                                                      ","1007760055","Residence Hall/Dormitory","1016","1014237","97000","Manual","86.5","158.8","WEST   27 STREET","230","716.4","86.2","158.4","10001"
"Yes","1007760059","1014239","Manhattan","95",,"5","3","494.4","Filed","1","94331","100","0","40.747102","-73.994973","13.47","Midtown-Midtown South                                                      ","1007760059","Office","1017","1014239","94331","ABS","69.6","70.3","WEST   27 STREET","236","494.4","Not Available","Not Available","10001"
"Yes","1007760065","1014241","Manhattan","95",,"5","3","274.1","Filed","1","66636","Not Available","33.4","40.747223","-73.995258","33.15","Midtown-Midtown South                                                      ","1007760065","Multifamily Housing","1018","1014241","66636","ABS","62.1","75.9","WEST   27 STREET","250","307.5","62.1","75.9","10001"
"No","1007780020","1014255","Manhattan","95",,"5","3","302.2","Filed","1","156500","84","509.2","40.74775","-73.99455","8.65","Midtown-Midtown South                                                      ","1007780020","Office","1019","1014255","139923","Manual","73.5","169.5","WEST   28 STREET","239","811.4","72.4","168.5","10001"
"No","1-00778-0034","1014261","Manhattan","95",,"5","3","83","Filed","1","57414","Not Available","70.5","40.747475","-73.993901","Not Available","Midtown-Midtown South                                                      ","1007780034","Office","1020","1014261","41911","None","47","91.5","WEST   28 STREET","207","153.5","Not Available","Not Available","10001"
"Yes","1007780043","1014264","Manhattan","95",,"5","3","371.5","Filed","1","240534","80","816.8","40.747549","-73.993143","34.71","Midtown-Midtown South                                                      ","1007780043","Office","1021","1014264","217084","ABS","69.3","168.5","7 AVENUE","330","1188.3","67.7","165.7","10001"
"Yes","1-00778-0048","1014267","Manhattan","95",,"5","3","677.9","Filed","1","125042","88","415.6","40.748148","-73.993623","14.77","Midtown-Midtown South                                                      ","1007780048","Office","1022","1014267","186051","ABS","75.8","135.1","WEST   29 STREET","214","1093.5","75.5","134.8","10001"
"No","1007790010","1014280","Manhattan","95",,"5","3","240.9","Filed","1","60610","Not Available","72.8","40.748452","-73.994301","Not Available","Midtown-Midtown South                                                      ","1007790010","Multifamily Housing","1025","1014280","56560","None","93.3","130.7","WEST   29 STREET","249","313.7","92.8","130.3","10001"
"No","4-01471-0012",,"Queens",,,,,,"Filed","6","180804","Not Available",,,,"Not Available",,"4014710012","Multifamily Housing","10244","4431437","31641","None",,,"84 STREET","37-16",,"Not Available","Not Available","11372"
"Yes","1007790013","1014282","Manhattan","95",,"5","3","537.2","Filed","1","106960","97","215.5","40.748384","-73.994139","15.39","Midtown-Midtown South                                                      ","1007790013","Office","1026","1014282","107040","ABS","91.4","145","WEST   29 STREET","241","752.7","Not Available","Not Available","10001"
"Yes","1008560058","1016881","Manhattan","56",,"5","2","173.3","Filed","1","169360","88","612.8","40.743176","-73.986312","30.37","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008560058","Office","1527","1016881","179785","ABS","54.9","144.7","MADISON AVENUE","56","786.1","54.8","144.5","10010"
"No","1-00779-0017","1014283","Manhattan","95",,"5","3","73.1","Filed","1","144323","Not Available","249.6","40.748299","-73.993937","33.91","Midtown-Midtown South                                                      ","1007790017","Multifamily Housing","1027","1014283","144323","Manual","28.1","73.6","WEST   29 STREET","231","322.7","Not Available","Not Available","10001"
"No","1-00779-0017","1014283","Manhattan","95",,"5","3","516","Filed","1","144323","100","69.4","40.748299","-73.993937","Not Available","Midtown-Midtown South                                                      ","1007790017","Office","1028","1014283","141299","None","54.5","67.9","WEST   29 STREET","231","585.4","53.2","66.6","10001"
"Yes","1-00780-0010","1014338","Manhattan","101",,"5","3","94.8","Filed","1","104199","Not Available","286.2","40.749086","-73.993893","40.84","Midtown-Midtown South                                                      ","1007800010","Multifamily Housing","1037","1014283","104199","ABS","46","118.4","WEST   30 STREET","251","381","Not Available","Not Available","10001"
"Yes","1-00779-0023","1014284","Manhattan","95",,"5","3","222.5","Filed","1","55000","100","20.2","40.748263","-73.993857","Not Available","Midtown-Midtown South                                                      ","1007790023","Office","1029","1014284","55000","ABS","58.2","68.4","WEST   29 STREET","227","242.7","58.2","68.4","10001"
"Yes","1007790039","1014290","Manhattan","95",,"5","3","397.6","Filed","1","143845","100","84.4","40.748164","-73.992695","Not Available","Midtown-Midtown South                                                      ","1007790039","Office","1030","1014290","114845","ABS","55","74.8","7 AVENUE","350","482","53.3","73","10001"
"Yes","1-00779-0041","1014291","Manhattan","95",,"5","3","839","Filed","1","127488","55","511","40.748208","-73.992663","Not Available","Midtown-Midtown South                                                      ","1007790041","Office","1031","1014291","127000","ABS","144.5","252.2","7 AVENUE","352","1350","Not Available","Not Available","10001"
"No","1007790063","1014302","Manhattan","95",,"5","3","190.2","Filed","1","64414","96","135.8","40.748952","-73.993623","1.74","Midtown-Midtown South                                                      ","1007790063","Office","1033","1014302","76355","Manual","68.8","117.9","WEST   30 STREET","236","326","68.4","117.6","10001"
"Yes","1007790066","1014303","Manhattan","95",,"5","3","212.4","Filed","1","94914","93","213.5","40.749004","-73.993742","Not Available","Midtown-Midtown South                                                      ","1007790066","Office","1034","1014303","98000","ABS","55.5","113.1","WEST   30 STREET","242","425.9","54.4","112","10001"
"N/A","1-00779-0075",,"Manhattan",,,,,"106.5","Not on Covered Buildings List",,,"42","386.7",,,"Not Available",,"1007790075","Office","14918","1014306","66400","None","93.2","246.6",,,"493.2","93.6","248",
"Yes","1007797501","1014307","Manhattan","95",,"5","3","281.2","Filed","1","57241","Not Available","19.4","40.749089","-73.993944","Not Available","Midtown-Midtown South                                                      ","1007797501","Multifamily Housing","1035","1014307","59000","None","68.7","78.1","WEST   30 STREET","252","300.6","Not Available","Not Available","10001"
"No","1-00780-0007","1014336","Manhattan","101",,"5","3","453.1","Filed","1","90174","65","281.3","40.749155","-73.994056","Not Available","Midtown-Midtown South                                                      ","1007800007","Office","1036","1014336","95478","None","99.3","177.4","WEST   30 STREET","259","734.4","98.7","176.9","10001"
"Yes","1-00780-0010","1014338","Manhattan","101",,"5","3","339.1","Filed","1","104199","Not Available","215.3","40.749086","-73.993893","65.56","Midtown-Midtown South                                                      ","1007800010","Other","1038","1014338","105196","ABS","68","122.2","WEST   30 STREET","251","554.4","67.6","121.9","10001"
"N/A","1007800013","1014339","Manhattan","101",,"5","3","304.5","Filed","1","60397","57","232.4","40.749051","-73.993814","Not Available","Midtown-Midtown South                                                      ","1007800013","Office","1039","1014339","67950","None","106.9","198.3","WEST   30 STREET    ","247","536.9","105.8","197.1","10001"
"No","1007800019","1014342","Manhattan","101",,"5","3","0","Filed","1","245542","Not Available","371.8","40.748861","-73.993366","Not Available","Midtown-Midtown South                                                      ","1007800019","Parking","1040","1014342","226740","None","19.2","40.4","WEST   30 STREET","225","371.8","19.1","40.2","10001"
"No","1007800036","1014343","Manhattan","101",,"5","3","2.7","Filed","1","332383","87","1559.4","40.74879","-73.992244","Not Available","Midtown-Midtown South                                                      ","1007800036","Office","1041","1014343","385000","None","49.9","156.5","7 AVENUE","370","1562.1","50","156.6","10001"
"No","1-00780-0036","1014343","Manhattan","101",,"5","3","0","Filed","1","332383","86","1674.8","40.74879","-73.992244","Not Available","Midtown-Midtown South                                                      ","1007800036","Office","1042","1014343","352383","None","57.3","154.5","7 AVENUE","370","1674.8","57.1","154.3","10001"
"Yes","1007800071","1014347","Manhattan","101",,"5","3","121.3","Filed","1","65977","54","234.5","40.749734","-73.993532","Not Available","Midtown-Midtown South                                                      ","1007800071","Office","1043","1014347","65977","None","73.3","167.7","WEST   31 STREET","254","355.8","Not Available","Not Available","10001"
"No","1007830070","1014387","Manhattan","101",,"5","3","7539.1","Filed","4","2689635","Not Available","21389.1","40.751148","-73.991013","34.92","Midtown-Midtown South                                                      ","1007830070","Office","1045","1014387","2270336","Manual","172.8","289.4","WEST   34 STREET","206","28928.2","171.6","287.9","10001"
"No","1007840019","1014402","Manhattan","109",,"5","3","1159.3","Filed","1","461386","89","1458.4","40.751483","-73.991764","Not Available","Midtown-Midtown South                                                      ","1007840019","Office","1046","1014402","569129","None","58.5","126.2","WEST   34 STREET","225","2617.7","Not Available","Not Available","10119"
"No","1-00784-0041","1014408","Manhattan","109",,"5","3","2","Filed","1","491253","93","2289.2","40.751359","-73.990367","Not Available","Midtown-Midtown South                                                      ","1007840041","Office","1048","1014408","491000","None","55.7","138.1","7 AVENUE","450","2291.2","55.6","138","10123"
"No","1-00784-0051","1014412","Manhattan","109",,"5","3","21.5","Filed","1","84768","95","172.9","40.751933","-73.990807","Not Available","Midtown-Midtown South                                                      ","1007840051","Office","1049","1014412","77067","None","32.8","92.1","WEST   35 STREET","212","194.4","32.9","92.2","10001"
"No","4-00447-0021",,"Queens",,,,,"69.4","Filed","1","54000","Not Available","333.1",,,"12.05",,"4004470021","Office","9924","4005233","54000","Manual","100.1","263.5","44 DRIVE","5-Nov","402.5","Not Available","Not Available","11101"
"Yes","1007840060","1014414","Manhattan","109",,"5","3",,"Filed","1","143448","Not Available",,"40.752034","-73.991053","29.41","Midtown-Midtown South                                                      ","1007840060","Office","1050","1014414","150620","ABS",,,"WEST   35 STREET","224",,"Not Available","Not Available","10001"
"No","1007840064","1014415","Manhattan","109",,"5","3","400.3","Filed","1","145372","90","390.5","40.752171","-73.991377","Not Available","Midtown-Midtown South                                                      ","1007840064","Office","1051","1014415","162525","None","65.2","129.1","WEST   35 STREET","240","790.8","63.7","127.1","10001"
"No","1008547501","1088910","Manhattan","56",,"5","2",,"Filed","1","1587500","Not Available",,"40.741617","-73.987449","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008547501","Office","1521","Not Available","2613986","None",,,"MADISON AVENUE","11",,"Not Available","Not Available","10010"
"Yes","1-00787-0023","1014456","Manhattan","109",,"5","3","152.9","Filed","1","64280","91","179.3","40.75339","-73.990392","8.18","Midtown-Midtown South                                                      ","1007870023","Office","1076","1014456","74079","ABS","57.2","121.1","WEST   37 STREET","237","332.2","56.9","120.9","10018"
"Yes","1-00784-0068","1014416","Manhattan","109",,"5","3","286.9","Filed","1","133948","92","294.9","40.75224","-73.99154","Not Available","Midtown-Midtown South                                                      ","1007840068","Office","1052","1014416","125453","ABS","59.3","121.4","WEST   35 STREET","248","581.8","Not Available","Not Available","10001"
"Yes","1007840071","1014417","Manhattan","109",,"5","3","673.1","Filed","1","106642","Not Available","219.6","40.752292","-73.991663","Not Available","Midtown-Midtown South                                                      ","1007840071","Other","1053","1014417","112027","None","113.6","167.3","WEST   35 STREET","254","892.7","Not Available","Not Available","10001"
"No","1007840074","1014418","Manhattan","109",,"5","3","891.4","Filed","1","64773","Not Available","136.5","40.752344","-73.991785","Not Available","Midtown-Midtown South                                                      ","1007840074","Office","1054","1014418","69046","None","198.2","252.3","WEST   35 STREET","260","1027.9","Not Available","Not Available","10001"
"Yes","1-00784-0077","1014419","Manhattan","109",,"5","3","227.7","Filed","1","111274","Not Available","382.8","40.752657","-73.99311","24.49","Midtown-Midtown South                                                      ","1007840077","Office","1055","1014419","100000","ABS","77.5","178.6","8 AVENUE","494","610.5","77.6","178.7","10001"
"No","1-00785-0001","1014421","Manhattan","109",,"5","3","449.7","Filed","1","243350","Not Available","752.4","40.752943","-73.992904","Not Available","Midtown-Midtown South                                                      ","1007850001","Other - Education","1056","1014421","234132","None","65.7","150.6","8 AVENUE","500","1202.1","65.7","150.7","10018"
"No","1-00785-0007","1014422","Manhattan","109",,"5","3","282.8","Filed","1","114368","Not Available","257.5","40.752358","-73.991774","Not Available","Midtown-Midtown South                                                      ","1007850007","Other","1057","1014422","112500","Manual","61.5","122.1","WEST   35 STREET","261","540.3","60.6","121.2","10001"
"Yes","1007850011","1014423","Manhattan","109",,"5","3","306.1","Filed","1","132118","84","459","40.752289","-73.991612","8.69","Midtown-Midtown South                                                      ","1007850011","Office","1058","1014423","132174","ABS","73.4","165.1","WEST   35 STREET","253","765.1","Not Available","Not Available","10001"
"No","1007850015","1014424","Manhattan","109",,"5","3","0","Filed","1","95368","97","258.8","40.752237","-73.991489","17.62","Midtown-Midtown South                                                      ","1007850015","Office","1059","1014424","96426","Manual","33","103.6","WEST   35 STREET","247","258.8","33","103.7","10001"
"Yes","1-00785-0018","1014425","Manhattan","109",,"5","3","304.1","Filed","1","144141","91","383.6","40.752152","-73.991287","16.97","Midtown-Midtown South                                                      ","1007850018","Office","1060","1014425","150000","ABS","58.5","126","WEST   35 STREET","237","687.7","58.5","126.1","10001"
"Yes","1-00785-0029","1014428","Manhattan","109",,"5","3","63.9","Filed","1","163681","Not Available","198.4","40.751946","-73.990796","22.69","Midtown-Midtown South                                                      ","1007850029","Multifamily Housing","1061","1014428","163681","ABS","20.2","52.1","WEST   35 STREET","213","262.3","Not Available","Not Available","10001"
"Yes","1-00785-0029","1014428","Manhattan","109",,"5","3","491.7","Filed","1","163681","100","9","40.751946","-73.990796","18.54","Midtown-Midtown South                                                      ","1007850029","Office","1062","1014428","170054","ABS","39.1","40.8","WEST   35 STREET","213","500.7","38.7","40.5","10001"
"Yes","1-00785-0037","1014429","Manhattan","109",,"5","3","135.8","Filed","1","189734","80","766.4","40.751754","-73.990075","21.62","Midtown-Midtown South                                                      ","1007850037","Office","1063","1014429","180008","ABS","63.9","176.2","7 AVENUE","462","902.2","63.9","176.4","10018"
"No","1-00785-0041","1014430","Manhattan","109",,"5","3","289.4","Filed","1","84575","46","456.8","40.751949","-73.989941","Not Available","Midtown-Midtown South                                                      ","1007850041","Office","1064","1014430","89000","None","115.1","251.8","7 AVENUE","470","746.2","115.2","252","10018"
"No","1-00785-0067","1014434","Manhattan","109",,"5","3","208.3","Filed","1","152667","95","425","40.752811","-73.990973","Not Available","Midtown-Midtown South                                                      ","1007850067","Office","1065","1014434","183000","None","43.7","105","WEST   36 STREET","242","633.3","43.6","105","10018"
